quarter,pop_state,pop_county,total_spending,project_count,avg_project_size,max_project,contract_spending,assistance_spending,new_construction_count,multifamily_count,affordable_count,rehab_count,public_housing_count,infra_count,unique_recipients,unique_agencies,new_construction_share,multifamily_share,affordable_share,assistance_share,expected_spending,spending_surprise,spending_surprise_pct,spending_qoq,spending_yoy,projects_qoq,projects_yoy,new_construction_intensity,multifamily_intensity,affordable_intensity,recipient_concentration,funding_persistence,active_opportunities,presolicitation_count,pipeline_value,spending_yoy_rank,projects_yoy_rank,spending_surprise_pct_rank,funding_persistence_rank,active_opportunities_rank,new_construction_intensity_rank,pipeline_score,pipeline_score_rank,spending_qoq_rank,projects_qoq_rank,multifamily_intensity_rank,affordable_intensity_rank,recipient_concentration_rank
2012Q2,WY,PLATTE,24204.0,4,6051.0,24204.0,0.0,24204.0,0,0,4,0,0,0,2,2,0.0,0.0,1.0,1.0,15416.5,8787.5,0.5700061622287809,,-0.03242054767139716,,-0.3333333333333333,0.0,0.0,1.0,0.5,11,0,0,0.0,0.8705321683876092,0.30913780397936624,0.9644948755490483,0.5972132209980557,0.5001620220349967,0.4923849643551523,0.666049335336018,0.864549578742709,,,0.49854180168502915,0.672553467271549,0.6174659753726507
2012Q3,WY,PLATTE,22343.0,4,5585.75,22343.0,0.0,22343.0,0,0,4,0,0,0,2,2,0.0,0.0,1.0,1.0,15213.75,7129.25,0.4686057020787117,-0.0768881176665014,-0.39038498267441546,0.0,-0.2,0.0,0.0,1.0,0.5,12,0,0,0.0,0.8531073446327684,0.7665592552810598,0.9134088417975886,0.6048438495857233,0.5001593371574251,0.49251115360101977,0.722929011323202,0.9426386233269598,0.3501727115716753,0.5852315869400152,0.4982472912683238,0.677182919056724,0.6658699808795411
2012Q4,WY,PLATTE,0.0,2,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1,1,0.0,0.0,1.0,,11636.75,-11636.75,-1.0,-1.0,,-0.5,,0.0,0.0,1.0,1.0,13,0,0,0.0,,,0.03101503759398496,0.6002587322121604,0.5001617076326003,0.4957956015523933,0.3987179668564567,0.2249353169469599,0.026762956669498725,0.05903568716780562,0.4987063389391979,0.6628395860284605,0.8814683053040103
2013Q1,WY,PLATTE,0.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0.0,0.0,1.0,,11636.75,-11636.75,-1.0,,,,,0.0,0.0,1.0,1.0,14,0,0,0.0,,,0.022418990203466466,0.6032538659793815,0.5001610824742269,0.4943621134020619,0.3969296402523045,0.28994845360824745,,,0.4988724226804124,0.6486791237113402,0.892235824742268
2013Q2,WY,PLATTE,6100.0,4,1525.0,6100.0,0.0,6100.0,0,0,4,0,0,0,2,2,0.0,0.0,1.0,1.0,11636.75,-5536.75,-0.47579865512277913,,-0.747975541232854,,0.0,0.0,0.0,1.0,0.5,15,0,0,0.0,0.049441100601891656,0.18742900416508898,0.0867704280155642,0.6040592783505154,0.5001610824742269,0.4946842783505155,0.2710637269664284,0.06507731958762887,,,0.4993556701030928,0.65625,0.7028028350515464
2013Q3,WY,PLATTE,28641.0,3,9547.0,16336.0,0.0,28641.0,0,0,3,0,0,0,2,2,0.0,0.0,1.0,1.0,7110.75,21530.25,,,0.2818779931074609,-0.25,-0.25,0.0,0.0,1.0,0.5,16,0,0,0.0,0.07698779974758098,0.05727204220045215,,0.6131271694540865,0.5001577784790154,0.4925844114862733,0.29169215246227614,0.08772483433259703,,0.08511016346837243,0.49857999368886086,0.8445881981697696,0.7541811296939097
2013Q4,WY,PLATTE,0.0,3,0.0,0.0,0.0,0.0,0,0,3,0,0,0,1,1,0.0,0.0,1.0,,8685.25,-8685.25,,-1.0,,0.0,,0.0,0.0,1.0,1.0,17,0,0,0.0,,,,0.6015955714750896,0.5001628134158255,0.4962552914360143,0.5372232171930966,0.6299251058287203,0.03441295546558704,0.9327089836975373,0.4993487463366981,0.6812113318137415,0.8850537284272224
2014Q1,WY,PLATTE,5942.0,3,1980.6666666666667,5942.0,0.0,5942.0,0,0,3,0,0,0,2,2,0.0,0.0,1.0,1.0,8685.25,-2743.25,,,,0.0,,0.0,0.0,1.0,0.5,18,0,0,0.0,,,,0.6028311096648227,0.5001627074520013,0.49625772860397005,0.5376871135698015,0.6098275301008786,,0.39131259484066766,0.49837292547998696,0.6225187113569801,0.6706801171493655
2014Q2,WY,PLATTE,20280.0,3,6760.0,20280.0,0.0,20280.0,0,0,3,0,0,0,2,2,0.0,0.0,1.0,1.0,10170.75,10109.25,0.9939532482855247,,,0.0,-0.25,0.0,0.0,1.0,0.5,19,0,0,0.0,,0.3983142037302726,0.9549224666426254,0.6060116354234001,0.5001616031027796,0.49547511312217196,0.5977985680672555,0.7786037491919845,,0.5249338874197205,0.49919198448610214,0.7031351001939238,0.6900452488687783
2014Q3,WY,PLATTE,16336.0,4,4084.0,16336.0,0.0,16336.0,0,0,4,0,0,0,2,2,0.0,0.0,1.0,1.0,13715.75,2620.25,0.191039498386891,-0.19447731755424064,-0.42962885374114035,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.5,20,0,0,0.0,0.8690695108495771,0.9455428373222338,0.941468605888613,0.6141183918961697,0.5001582779360557,0.49398543842988285,0.7603126140543222,0.9810066476733144,0.788952380952381,0.7566127847171198,0.4984172206394429,0.7139917695473251,0.6970560303893637
2014Q4,WY,PLATTE,0.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0.0,0.0,1.0,,10639.5,-10639.5,-1.0,-1.0,,-0.75,-0.6666666666666666,0.0,0.0,1.0,1.0,21,0,0,0.0,,0.03159082361790147,0.02846441947565543,0.6047077922077922,0.5001623376623376,0.49756493506493504,0.3207075706443522,0.15762987012987012,0.024548311076197957,0.012838801711840228,0.49967532467532466,0.6103896103896104,0.8957792207792208
2015Q1,WY,PLATTE,26814.0,2,13407.0,22734.0,0.0,26814.0,0,0,2,0,0,0,1,1,0.0,0.0,1.0,1.0,10639.5,16174.5,1.5202312138728324,,,,-0.3333333333333333,0.0,0.0,1.0,1.0,22,0,0,0.0,,0.08599924727135867,0.7767857142857143,0.6044045676998369,0.500163132137031,0.4967373572593801,0.4925380499071845,0.4936378466557912,,,0.499021207177814,0.5536704730831974,0.9084828711256118
2015Q2,WY,PLATTE,0.0,3,0.0,0.0,0.0,0.0,0,0,3,0,0,0,1,1,0.0,0.0,1.0,,15857.5,-15857.5,-1.0,-1.0,-1.0,,0.0,0.0,0.0,1.0,1.0,23,0,0,0.0,0.03553299492385787,0.7116734392316217,0.048807339449541284,0.6069918699186991,0.5001626016260162,0.49691056910569104,0.3404962429216082,0.22,0.046810117025292565,,0.49902439024390244,0.676260162601626,0.8695934959349594
2015Q3,WY,PLATTE,10953.0,4,2738.25,10953.0,0.0,10953.0,0,0,4,0,0,0,2,2,0.0,0.0,1.0,1.0,10787.5,165.5,0.015341830822711471,,-0.32951762977473065,0.3333333333333333,0.0,0.0,0.0,1.0,0.5,24,0,0,0.0,0.312621359223301,0.5511302475780409,0.738018018018018,0.618084097375909,0.5001580777742649,0.49604805564337656,0.5044997794432629,0.5096427442301612,,0.5001855287569573,0.4988934555801454,0.5373063547265254,0.7330066392665191
2015Q4,WY,PLATTE,38172.0,6,6362.0,17379.0,0.0,38172.0,0,0,6,0,0,0,2,2,0.0,0.0,1.0,1.0,9441.75,28730.25,,2.485072582854013,,0.5,,0.0,0.0,1.0,0.5,25,0,0,0.0,,,,0.6096889176928062,0.5001620220349967,0.4982177576150357,0.540748541801685,0.6007777057679844,0.9184761904761904,0.944883303411131,0.4995139338950097,0.5183084899546339,0.7004212572909916
2016Q1,WY,PLATTE,18471.0,2,9235.5,18471.0,0.0,18471.0,0,0,2,0,0,0,2,2,0.0,0.0,1.0,1.0,18984.75,-513.75,-0.02706119385296093,-0.5161112857591952,-0.3111434325352428,-0.6666666666666666,,0.0,0.0,1.0,0.5,26,0,0,0.0,0.13900337204945673,,0.23633093525179857,0.6116316639741518,0.5001615508885299,0.4972536348949919,0.34546470308412736,0.16704361873990306,0.035412474849094565,0.0091796875,0.4991922455573506,0.5222940226171244,0.7347334410339257
2016Q2,WY,PLATTE,5800.0,5,1160.0,5800.0,0.0,5800.0,0,0,5,0,0,0,1,1,0.0,0.0,1.0,1.0,16899.0,-11099.0,-0.6567844251139121,-0.6859942612744302,,,0.6666666666666666,0.0,0.0,1.0,1.0,27,0,0,0.0,,0.9153874953201049,0.28561020036429874,0.6108406361570918,0.5001622849724116,0.4982148653034729,0.5666022557891905,0.670561506004544,0.4281437125748503,,0.49951314508276534,0.8020123336579033,0.8726062966569296
2016Q3,WY,PLATTE,6811.0,2,3405.5,6811.0,0.0,6811.0,0,0,2,0,0,0,2,2,0.0,0.0,1.0,1.0,18349.0,-11538.0,-0.6288081094337566,,-0.37816123436501414,-0.6,-0.5,0.0,0.0,1.0,0.5,28,0,0,0.0,0.2759407069555302,0.10308908045977011,0.2662616154395997,0.6194409148665819,0.500158831003812,0.4957115628970775,0.35569593464183136,0.2207750952986023,,0.024479356960175374,0.4982528589580686,0.5449491740787802,0.7166454891994918
2016Q4,WY,PLATTE,4352.0,6,725.3333333333334,4352.0,0.0,4352.0,0,0,6,0,0,0,2,2,0.0,0.0,1.0,1.0,17313.5,-12961.5,-0.7486354578796892,,-0.8859897306926543,,0.0,0.0,0.0,1.0,0.5,29,0,0,0.0,0.04765751211631664,0.3847358121330724,0.12663755458515283,0.6145867098865478,0.500162074554295,0.4978930307941653,0.3080048793881717,0.09367909238249594,,,0.49967585089141003,0.6350081037277148,0.7006482982171799
2017Q1,WY,PLATTE,15232.0,3,5077.333333333333,15232.0,0.0,15232.0,0,0,3,0,0,0,2,2,0.0,0.0,1.0,1.0,8858.5,6373.5,,,-0.17535596340208975,-0.5,,0.0,0.0,1.0,0.5,30,0,0,0.0,0.6842496285289748,,,0.6237717908082409,0.5001584786053883,0.49698890649762284,0.605090456600713,0.7603803486529318,,0.028201219512195123,0.4995245641838352,0.6801901743264659,0.7201267828843106
2017Q2,WY,PLATTE,13755.0,7,1965.0,7500.0,0.0,13755.0,0,0,6,1,0,0,2,2,0.0,0.0,0.8571428571428571,1.0,8048.75,5706.25,,-0.09696691176470588,,1.3333333333333333,0.4,0.0,0.0,0.8571428571428571,0.5,31,0,0,0.0,,0.2900329791132283,,0.6239695624603678,0.5001585288522511,0.4966708941027267,0.4759840908620904,0.4411857958148383,0.6680358476474981,0.9827646239554317,0.4992073557387445,0.09210526315789473,0.703868103994927
2017Q3,WY,PLATTE,25075.0,8,3134.375,12577.0,0.0,25075.0,0,0,8,0,0,0,2,2,0.0,0.0,1.0,1.0,10037.5,15037.5,1.49813200498132,0.8229734641948382,,0.14285714285714285,,0.0,0.0,1.0,0.5,32,0,0,0.0,,,0.8282051282051283,0.6274756365922666,0.5001571832756995,0.49764225086450803,0.6238907587225726,0.7997485067588809,0.6058981233243967,0.5691379310344827,0.4990569003458032,0.856491669286388,0.7298019490726186
2017Q4,WY,PLATTE,4811.0,5,962.2,4811.0,0.0,4811.0,0,0,5,0,0,0,2,2,0.0,0.0,1.0,1.0,14603.5,-9792.5,-0.6705584277741637,-0.808135593220339,,-0.375,-0.16666666666666666,0.0,0.0,1.0,0.5,33,0,0,0.0,,0.14337533409698358,0.13776634827332843,0.62002567394095,0.5001604621309371,0.49823491655969193,0.37146094917471295,0.21726572528883184,0.08330206378986867,0.31021394064872326,0.4991976893453145,0.6404043645699615,0.7089216944801027
2018Q1,WY,PLATTE,9520.0,6,1586.6666666666667,9520.0,0.0,9520.0,0,0,6,0,0,0,2,2,0.0,0.0,1.0,1.0,14718.25,-5198.25,-0.3531839722793131,,-0.375,0.2,1.0,0.0,0.0,1.0,0.5,34,0,0,0.0,0.36160714285714285,0.9826437587657784,0.2621323529411765,0.6547445255474452,0.5001459854014598,0.4983941605839416,0.518271552313916,0.5635036496350365,,0.598816355810617,0.4992700729927007,0.6445255474452555,0.6781021897810219
2018Q2,WY,PLATTE,21208.0,8,2651.0,11688.0,0.0,21208.0,0,0,8,0,0,0,2,2,0.0,0.0,1.0,1.0,13290.25,7917.75,0.5957562875039973,,0.5418393311523082,0.3333333333333333,0.14285714285714285,0.0,0.0,1.0,0.5,35,0,0,0.0,0.14082885648503454,0.40401549841493484,0.1699443413729128,0.6199356913183279,0.50016077170418,0.49710610932475885,0.34606771329953956,0.17588424437299036,,0.4868231046931408,0.4985530546623794,0.8456591639871383,0.72524115755627
2018Q3,WY,PLATTE,39716.0,11,3610.5454545454545,28700.0,0.0,39716.0,0,0,11,0,0,0,3,2,0.0,0.0,1.0,1.0,15153.5,24562.5,1.620912660441482,0.8726895511127877,0.5838883349950149,0.375,0.375,0.0,0.0,1.0,0.3333333333333333,36,0,0,0.0,0.9401931649331352,0.8552083333333333,0.975609756097561,0.6236850494102646,0.5001593879502709,0.49729040484539366,0.7749863689831945,0.9913930506853682,0.9649575802286979,0.9020387007601935,0.4988842843481033,0.8520879821485495,0.5592923175007969
2018Q4,WY,PLATTE,10234.0,2,5117.0,5712.0,0.0,10234.0,0,0,2,0,0,0,2,1,0.0,0.0,1.0,1.0,18813.75,-8579.75,-0.4560361437778221,-0.7423204753751637,,-0.75,-0.6,0.0,0.0,1.0,0.5,37,0,0,0.0,,0.33206252382767826,0.3088846880907372,0.6023991655076495,0.500173852573018,0.49773991655076494,0.4447171802213414,0.36613351877607786,0.08004640371229699,0.12319377547239718,0.4991307371349096,0.5486787204450626,0.6922809457579973
2019Q1,WY,PLATTE,23324.0,6,3887.3333333333335,14280.0,0.0,23324.0,0,0,6,0,0,0,3,2,0.0,0.0,1.0,1.0,20169.5,3154.5,0.15639951411785122,1.2790697674418605,,,0.0,0.0,0.0,1.0,0.3333333333333333,38,0,0,0.0,,0.8359318346627991,0.8371418208197315,0.6252877342979283,0.5001644195988162,0.4988490628082867,0.6709482538396,0.8638605721802038,0.9233673084182711,,0.4995067412035515,0.5951989477145676,0.5723446234791187
2019Q2,WY,PLATTE,36573.0,3,12191.0,19301.0,0.0,36573.0,0,0,3,0,0,0,3,2,0.0,0.0,1.0,1.0,23620.5,12952.5,0.5483584174763447,0.5680415023152118,0.7244907582044512,-0.5,-0.625,0.0,0.0,1.0,0.3333333333333333,39,0,0,0.0,0.9164802386278896,0.05555555555555555,0.3515541264737406,0.6341150016061677,0.5001606167683906,0.49791198201092196,0.5559430648500373,0.6315451333119178,0.23102803738317756,0.029969650986342945,0.49903629938965627,0.8380982974622551,0.568904593639576
2019Q3,WY,PLATTE,15839.0,6,2639.8333333333335,12306.0,0.0,15839.0,0,0,6,0,0,0,3,2,0.0,0.0,1.0,1.0,27461.75,-11622.75,-0.42323413475106286,-0.5669209526153173,-0.6011934736630073,1.0,-0.45454545454545453,0.0,0.0,1.0,0.3333333333333333,40,0,0,0.0,0.16856060606060605,0.11474540311173975,0.5003566333808844,0.63568,0.50016,0.4968,0.36288948729207543,0.21792,0.6124031007751938,0.9535087719298245,0.4984,0.84624,0.55728
